# VASP Wiki INCAR tag help for pei_vasp_univ_find_and_change.
# Source: https://vasp.at/wiki/Category:INCAR_tag
# Retrieved: 2026-07-20; 609 INCAR keys/families from 612 category pages.
# NPPSTR and PFLAT use their page titles because their Wiki TAGDEF templates currently name another tag.
# NICS, POSNICS, NMRCAR.magres, and Profiling are category pages but not INCAR keys.
# Format: TAG<TAB>concise description; common choices and/or defaults.
KERNEL_TRUNCATION/IDIMENSIONALITY	Specifies the boundary condition used to compute the hartree and ionic potential; options=0/2/3; default=3
KERNEL_TRUNCATION/IPAD	KERNEL_TRUNCATION/IPAD controls the padding strategy used for the Coulomb kernel truncation in...; defaults=3/2
KERNEL_TRUNCATION/ISURFACE	Specifies the non-periodic dimension when performing calculations with the Coulomb-kernel-truncation...; options=1/2/3
KERNEL_TRUNCATION/LCOARSEN	Coarsen the charge density before padding to speed up the computation of the local potential in the...; T=on, F=off; default=False
KERNEL_TRUNCATION/LTRUNCATE	Truncates the Coulomb kernel to remove electrostatic interactions along non-periodic dimensions; T=on, F=off; default=False
KGAMMA	Whether the automatically generated k-point mesh is centered at the point; T=on, F=off; default=TRUE
KPAR	KPAR determines the number of k-points that are to be treated in parallel (available as of...; default=1
KPOINTS_OPT_MODE	Selects which diagonalization algorithm to use for the optional k-points driver; options=0/1/2; default=1
KPOINTS_OPT_NKBATCH	KPOINTS_OPT_NKBATCH determines the size of the batch of k-points for the KPOINTS_OPT driver; options=Number of k-points in the irreducible Brillouin zone of the...
KPOINT_BSE	KPOINT_BSE specifies the k-point index at which VASP calculates the dielectric matrix; format=one index or three integer indices
KPUSE	KPUSE sets a list of k points that contribute to calculating the partial charge density; default=not set
KSPACING	Spacing between k points in automatically generated mesh if the KPOINTS file is not present; default=0.5
KSPACING_OPT	Spacing between k points in the automatically generated mesh for the KPOINTS_OPT driver if the...; default=0.5
K_MULTIPLY	K_MULTIPLY sets the per-direction k-point grid multiplier for downsampling from a denser WAVECAR; default=-1 -1 -1
LADDER	Controls whether the ladder diagrams are included in the BSE calculation. Note that the default for...; T=on, F=off; default=NOT. LRPA
LAECHG	When LAECHG=.TRUE. the all-electron charge density will be reconstructed explicitly and written to files; T=on, F=off; default=FALSE
LALL_IN_ONE	LALL_IN_ONE=.TRUE. enables the all-in-one mode for many-body perturbation theory calculations, i.e.,...; T=on, F=off; defaults=FALSE/TRUE
LAMBDA	LAMBDA sets the weight with which the penalty terms of the constrained local moment approach enter...; default=0
LANCZOSTHR	LANCZOSTHR is used by the BSE Lanczos algorithm to stop the iterative procedure, once the dielectric...; default=10^{-3}
LANGEVIN_GAMMA	LANGEVIN_GAMMA specifies the friction coefficients (in ps-1) for atomic degrees-of-freedom when using...; default=NTYP0
LANGEVIN_GAMMA_L	LANGEVIN_GAMMA_L specifies the friction coefficient (in ps-1) for lattice degrees-of-freedom in case...; default=0
LASPH	Include non-spherical contributions related to the gradient of the density in the PAW spheres; T=on, F=off; default=FALSE
LASYNC	Controls the overlap in communication; T=on, F=off; default=FALSE
LATTICE_CONSTRAINTS	Sets three boolean to selectively allow changes in the lattice vectors
LBERRY	This tag is used in the the evaluation of the Berry phase expression for the electronic polarization...; T=on, F=off; default=FALSE
LBLUEOUT	For LBLUEOUT=.TRUE., VASP writes output for the free-energy gradient calculation to the REPORT file...; T=on, F=off; default=FALSE
LBONE	LBONE adds the small B-component to the chemical shift tensor; T=on, F=off; default=FALSE
LCALCEPS	For LCALCEPS=.TRUE. the macroscopic ion-clamped static dielectric tensor, Born effective charge...; T=on, F=off; default=FALSE
LCALCPOL	LCALCPOL=.TRUE. switches on the evaluation of the Berry phase expressions for the macroscopic...; T=on, F=off; default=FALSE
LCHARG	Determines whether the charge density is written; T=on, F=off; default=True
LCHARGH5	Determines whether the charge densities are written to vaspwave.h5; T=on, F=off; default=LH5
LCHIMAG	Calculate the chemical shifts and magnetic susceptibility within linear response theory; T=on, F=off; default=FALSE
LCORR	Controls whether Harris corrections are calculated or not; T=on, F=off; default=TRUE
LDAU	LDAU=.TRUE. switches on DFT+U; T=on, F=off; default=FALSE
LDAUJ	Sets the effective on-site exchange interactions (eV); default=NTYP*0.0
LDAUL	LDAUL specifies the l-quantum number for which the on-site interaction is added; default=NTYP*2
LDAUPRINT	LDAUPRINT controls the verbosity of a DFT+U calculation; options=0/1; default=0
LDAUTYPE	LDAUTYPE specifies the DFT+U variant that will be used; options=1/2/4; default=2
LDAUU	Sets the effective on-site Coulomb interactions (eV); default=NTYP*0.0
LDIAG	Determines whether a subspace diagonalization is performed within the algorithm selected by ALGO or IALGO; T=on, F=off; default=TRUE
LDIPOL	LDIPOL switches on corrections to the potential and forces. Can be applied for charged molecules and...; T=on, F=off; default=FALSE
LDISENTANGLED	Selects the disentanglement-cRPA method; T=on, F=off; default=FALSE
LDMATRIX	Computes the zero-field splitting (ZFS) matrix; T=on, F=off; default=FALSE
LDOWNSAMPLE	LDOWNSAMPLE selects a sub-grid of k-points defined in KPOINTS from WAVECAR; T=on, F=off; default=FALSE
LEFG	The LEFG computes the electric field gradient (EFG) at positions of the atomic nuclei; T=on, F=off; default=FALSE
LELF	LELF determines whether to create an ELFCAR file or not; T=on, F=off; default=FALSE
LEPSILON	LEPSILON=.TRUE. determines the static dielectric matrix, ion-clamped piezoelectric tensor, and the...; T=on, F=off; default=FALSE
LFINITE_TEMPERATURE	LFINITE_TEMPERATURE switches on the finite-temperature formalism of many-body perturbation theory for...; T=on, F=off; default=FALSE
LFOCKACE	LFOCKACE determines whether the Adaptively Compressed Exchange Operator is used. *N.B.:Available for...; T=on, F=off; defaults=TRUE/N/A
LFOCKAEDFT	LFOCKAEDFT forces VASP to use the same charge augmentation for the Hartree and DFT exchange...; T=on, F=off; default=FALSE
LFOCKSTD	LFOCKSTD applies to RPA and GW calculations. It forces VASP to evaluate the exact exchange fully...; T=on, F=off; default=FALSE
LFXC	LFXC enables the (semi-)local exchange-correlation kernel in Casida and time-evolution TDDFT calculations; T=on, F=off; default=FALSE
LH5	LH5 determines whether the output is written to the legacy files (CHGCAR, CHG, WAVECAR) or the...; T=on, F=off; default=FALSE
LHARTREE	Controls whether the bubble diagrams are included in the BSE calculation; T=on, F=off; default=TRUE
LHFCALC	LHFCALC specifies whether a Hartree-Fock/DFT hybrid functional type calculation is performed; T=on, F=off; default=FALSE
LHYPERFINE	Compute the hyperfine tensors at the atomic sites (available as of vasp.5.3.2); T=on, F=off; default=FALSE
LIBMBD_ALPHA	LIBMBD_ALPHA defines the free-atom polarizabilities _{0} (bohr^{3}) used in the Tkatchenko-Scheffler...
LIBMBD_C6AU	LIBMBD_C6AU defines the free-atom C_6 parameters ({Hartree} {bohr}^{6}) used in the Tkatchenko-...
LIBMBD_K_GRID	LIBMBD_K_GRID sets the k-mesh of the collective oscillations defined in the methods available in the...; default=determined in libMBD according to the cell shape
